article_id	article_title	author_type	author	publication_title	issue_number	issue_date	pages	regular_feature_title	cite	article_text
33	11 Genç Tutuklandı			Haftalık Ant Dergisi	164	1970-02	3		"""11 Genç Tutuklandı."" Haftalık Ant Dergisi 164 (1970): 3"	
12	Arap Halklarının Kurtuluş Mücadelesini Hiçbir Güç Durduramıyacaktır			Proleter Devrimci Aydınlık	9-23	1970-09	369-376		"""Arap Halklarının Kurtuluş Mücadelesini Hiçbir Güç Durduramıyacaktır."" Proleter Devrimci Aydınlık 9-23 (1970): 369-376"	
39	Arap Halklarının Savaşı Devam Edecek			Kurtuluş	5	1970-10	1		"""Arap Halklarının Savaşı Devam Edecek."" Kurtuluş 5 (1970): 1"	
29	Arap-İsrail Çatışması	Author	Minu İnkaya	Kurtuluş Yolu	1	1968-12	2		"İnkaya, Minu. ""Arap-İsrail Çatışması."" Kurtuluş Yolu 1 (1968): 2"	
14	Aydınlık'ta Dünya ve Türkiye			Aydınlık Sosyalist Dergi	3	1969-01	177-186	Aydınlık'ta Dünya ve Türkiye	"""Aydınlık'ta Dünya ve Türkiye."" Aydınlık Sosyalist Dergi 3 (1969): 177-186"	
15	Aydınlık'ta Dünya ve Türkiye			Aydınlık Sosyalist Dergi	4	1969-02	261-278	Aydınlık'ta Dünya ve Türkiye	"""Aydınlık'ta Dünya ve Türkiye."" Aydınlık Sosyalist Dergi 4 (1969): 261-278"	
16	Aydınlık'ta Dünya ve Türkiye			Aydınlık Sosyalist Dergi	6	1969-04	417-437	Aydınlık'ta Dünya ve Türkiye	"""Aydınlık'ta Dünya ve Türkiye."" Aydınlık Sosyalist Dergi 6 (1969): 417-437"	
3	Aydınlık'ta Dünya ve Türkiye			Aydınlık Sosyalist Dergi	24	1970-10	504-525	Aydınlık'ta Dünya ve Türkiye	"""Aydınlık'ta Dünya ve Türkiye."" Aydınlık Sosyalist Dergi 24 (1970): 504-525"	
35	El Feth Gönüllüleri			Haftalık Ant Dergisi	173	1970-04	3		"""El Feth Gönüllüleri."" Haftalık Ant Dergisi 173 (1970): 3"	
17	El Feth ve Göçmenler	Author	Gérard Chaliand	Türk Solu	86	1969-07	15		"Chaliand, Gérard. ""El Feth ve Göçmenler."" Türk Solu 86 (1969): 15"	
18	El Feth ve Göçmenler	Author	Gérard Chaliand	Türk Solu	87	1969-07	15		"Chaliand, Gérard. ""El Feth ve Göçmenler."" Türk Solu 87 (1969): 15"	
